Year ,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Population ,"179,323,175","182,992,000","185,771,000","188,483,000","191,141,000","193,526,000","195,576,000","197,457,000","199,399,000","201,385,000","203,235,298","206,212,000","208,230,000","209,851,000","211,392,000","213,124,000","214,659,000","216,332,000","218,059,000","220,099,000","225,349,264","229,146,000","231,534,000","233,981,000","236,158,000","238,740,000","240,132,887","242,282,918","245,807,000","248,239,000","248,709,873","252,177,000","255,082,000","257,908,000","260,341,000","262,755,000","265,228,572","267,637,000","270,296,000","272,690,813","281,421,906","285,317,559","287,973,924","290,690,788","293,656,842","296,507,061","299,398,484","301,621,157","304,374,846","307,006,550","309,330,219","311,587,816","313,873,685","316,497,531","318,907,401","321,418,820"
Violent ,"288,460","289,390","301,510","316,970","364,220","387,390","430,180","499,930","595,010","661,870","738,820","816,500","834,900","875,910","974,720","1,039,710","1,004,210","1,029,580","1,085,550","1,208,030","1,344,520","1,361,820","1,322,390","1,258,090","1,273,280","1,328,800","1,489,169","1,483,999","1,566,220","1,646,040","1,820,130","1,911,770","1,932,270","1,926,020","1,857,670","1,798,790","1,688,540","1,634,770","1,531,044","1,426,044","1,425,486","1,439,480","1,423,677","1,383,676","1,360,088","1,390,745","1,418,043","1,408,337","1,392,628","1,325,896","1,251,248","1,206,031","1,217,067","1,199,684","1,186,185","1,231,566"
Property ,"3,095,700","3,198,600","3,450,700","3,792,500","4,200,400","4,352,000","4,793,300","5,403,500","6,125,200","6,749,000","7,359,200","7,771,700","7,413,900","7,842,200","9,278,700","10,252,700","10,345,500","9,955,000","10,123,400","11,041,500","12,063,700","12,061,900","11,652,000","10,850,500","10,608,500","11,102,600","11,722,700","12,024,700","12,356,900","12,605,400","12,655,500","12,961,100","12,505,900","12,218,800","12,131,900","12,063,900","11,805,300","11,558,175","10,944,590","10,208,334","10,182,586","10,437,480","10,455,277","10,442,862","10,319,386","10,174,754","9,983,568","9,843,481","9,767,915","9,337,060","9,112,625","9,052,743","9,001,992","8,650,761","8,209,010","7,993,631"
Murder ,"9,110","8,740","8,530","8,640","9,360","9,960","11,040","12,240","13,800","14,760","16,000","17,780","18,670","19,640","20,710","20,510","18,780","19,120","19,560","21,460","23,040","22,520","21,010","19,310","18,690","18,980","20,613","20,096","20,680","21,500","23,440","24,700","23,760","24,530","23,330","21,610","19,650","18,208","16,914","15,522","15,586","16,037","16,229","16,528","16,148","16,740","17,030","16,929","16,442","15,399","14,772","14,661","14,866","14,319","14,164","15,696"
Forcible Rape ,"17,190","17,220","17,550","17,650","21,420","23,410","25,820","27,620","31,670","37,170","37,990","42,260","46,850","51,400","55,400","56,090","57,080","63,500","67,610","76,390","82,990","82,500","78,770","78,920","84,230","88,670","91,459","91,110","92,490","94,500","102,560","106,590","109,060","106,010","102,220","97,470","96,250","96,153","93,103","89,411","90,178","90,863","95,235","93,883","95,089","94,347","92,757","90,427","90,479","89,241","85,593","84,175","85,141","82,109","84,864","90,185"
Robbery ,"107,840","106,670","110,860","116,470","130,390","138,690","157,990","202,910","262,840","298,850","349,860","387,700","376,290","384,220","442,400","470,500","427,810","412,610","426,930","480,700","565,840","592,910","553,130","506,570","485,010","497,870","542,775","517,704","542,970","578,330","639,270","687,730","672,480","659,870","618,950","580,510","535,590","498,534","446,625","409,371","408,016","423,557","420,806","414,235","401,470","417,438","447,403","445,125","443,574","408,742","369,089","354,772","355,051","345,095","322,905","327,374"
Agrivated assault ,"154,320","156,760","164,570","174,210","203,050","215,330","235,330","257,160","286,700","311,090","334,970","368,760","393,090","420,650","456,210","492,620","500,530","534,350","571,460","629,480","672,650","663,900","669,480","653,290","685,350","723,250","834,322","855,088","910,090","951,710","1,054,860","1,092,740","1,126,970","1,135,610","1,113,180","1,099,210","1,037,050","1,023,201","974,402","911,740","911,706","909,023","891,407","859,030","847,381","862,220","860,853","855,856","842,134","812,514","781,844","752,423","762,009","726,575","731,089","764,449"
Burglary ,"912,100","949,600","994,300","1,086,400","1,213,200","1,282,500","1,410,100","1,632,100","1,858,900","1,981,900","2,205,000","2,399,300","2,375,500","2,565,500","3,039,200","3,265,300","3,108,700","3,071,500","3,128,300","3,327,700","3,795,200","3,779,700","3,447,100","3,129,900","2,984,400","3,073,300","3,241,410","3,236,184","3,218,100","3,168,200","3,073,900","3,157,200","2,979,900","2,834,800","2,712,800","2,593,800","2,506,400","2,460,526","2,329,950","2,100,739","2,050,992","2,116,531","2,151,252","2,154,834","2,144,446","2,155,448","2,183,746","2,176,140","2,228,474","2,203,313","2,168,457","2,185,140","2,109,932","1,931,835","1,713,153","1,579,527"
Larceny Theft ,"1,855,400","1,913,000","2,089,600","2,297,800","2,514,400","2,572,600","2,822,000","3,111,600","3,482,700","3,888,600","4,225,800","4,424,200","4,151,200","4,347,900","5,262,500","5,977,700","6,270,800","5,905,700","5,991,000","6,601,000","7,136,900","7,194,400","7,142,500","6,712,800","6,591,900","6,926,400","7,257,153","7,499,900","7,705,900","7,872,400","7,945,700","8,142,200","7,915,200","7,820,900","7,879,800","7,997,700","7,904,700","7,743,760","7,373,886","6,955,520","6,971,590","7,092,267","7,057,370","7,026,802","6,937,089","6,783,447","6,607,013","6,568,572","6,588,046","6,338,095","6,204,601","6,151,095","6,168,874","6,018,632","5,809,054","5,706,346"
Vehicle Theft ,"328,200","336,000","366,800","408,300","472,800","496,900","561,200","659,800","783,600","878,500","928,400","948,200","887,200","928,800","977,100","1,009,600","966,000","977,700","1,004,100","1,112,800","1,131,700","1,087,800","1,062,400","1,007,900","1,032,200","1,102,900","1,224,137","1,288,674","1,432,900","1,564,800","1,635,900","1,661,700","1,610,800","1,563,100","1,539,300","1,472,400","1,394,200","1,354,189","1,240,754","1,152,075","1,160,002","1,228,391","1,246,646","1,261,226","1,237,851","1,235,859","1,192,809","1,095,769","958,629","795,652","739,565","716,508","723,186","700,294","686,803","707,758"
