State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury,,
01,Autauga,Alabama,AL,48612,82,5056,13077,30285,4764,39230,8410,243,292,826,75,506,8,1303,1164,13514,38209,11910,14146,12931,6903,16577,7729,83807,31744,13271,35924,8070,11181,,
01,Baldwin,Alabama,AL,162586,102,16584,38208,98039,23575,143726,16096,813,650,3739,77,1393,7,15208,12605,44223,123891,38370,49589,39996,11706,36582,24876,254447,100966,40809,79179,23250,48938,,
01,Barbour,Alabama,AL,28414,32,6279,6905,17759,3296,14832,13298,114,85,881,75,290,0,460,399,0,0,7274,0,5029,1875,8666,6649,27079,20060,7444,24010,2927,8411,,
01,Bibb,Alabama,AL,21516,35,3615,5293,13620,2345,16524,4841,65,22,301,73,226,0,262,222,0,18633,0,0,0,2819,6476,3744,39740,13899,7617,31112,3184,6455,,
01,Blount,Alabama,AL,55725,86,6631,13653,34605,6743,54109,836,279,111,3511,76,532,8,1763,1491,18668,41571,13485,0,13151,4681,16829,9362,82584,39955,15269,26358,8024,13597,,
01,Bullock,Alabama,AL,11055,18,2896,2731,6987,1106,3073,7893,44,22,652,72,122,0,69,62,0,0,0,0,0,0,3361,2543,24476,5516,5771,7495,0,3781,,
01,Butler,Alabama,AL,20766,27,4153,5316,12148,2824,11940,8701,42,62,187,73,225,7,242,214,5088,0,4569,0,5669,1973,4257,3696,47554,10902,7829,17547,2471,6334,,
01,Calhoun,Alabama,AL,112141,184,18391,27026,69079,14242,87806,22092,449,897,2243,73,1234,8,7177,6218,32745,91843,30278,37231,28596,12560,29605,20634,212283,82424,28596,88816,15251,30727,,
01,Chambers,Alabama,AL,35460,59,5745,8794,21099,4787,21560,13688,35,71,426,74,381,8,711,584,12305,29999,0,0,4149,6064,8971,4893,39290,22375,9893,34609,4539,9503,,
01,Cherokee,Alabama,AL,24522,44,3727,5370,15057,3727,22879,1349,74,74,270,75,245,9,352,280,0,0,0,0,5787,3261,2697,3752,39333,13266,8019,14468,4340,6621,,
01,Chilton,Alabama,AL,41744,60,6220,10436,26132,4717,36860,4383,125,167,1545,74,434,10,983,839,12648,34564,13024,11062,12523,2505,6763,5719,78520,26549,14527,29346,5552,13692,,
01,Choctaw,Alabama,AL,14807,16,2769,3687,8810,2029,8247,6500,15,15,118,75,144,0,124,104,0,0,0,0,2532,1999,4472,3124,32723,9728,7137,12453,1392,2828,,
01,Clarke,Alabama,AL,27269,22,5236,7444,15952,3381,15216,11917,55,55,191,74,268,6,407,352,8590,0,0,0,0,4309,5836,6981,51866,14371,13389,20452,2427,6108,,
01,Clay,Alabama,AL,13964,23,1955,3128,8420,2081,11758,2095,42,14,293,75,133,7,114,93,0,0,0,0,3337,1704,2011,1746,31112,7568,4329,9342,1564,4455,,
01,Cleburne,Alabama,AL,14460,26,2024,3369,9052,1851,13780,549,43,29,260,75,155,8,120,101,0,0,0,0,0,1518,1836,2155,21531,7244,5133,6883,4352,3774,,
01,Coffee,Alabama,AL,45567,67,6243,11164,27841,5878,35497,8430,410,547,1458,76,421,7,1180,993,10617,0,11620,14262,10480,4693,10845,8065,87352,33628,8612,27659,5969,8749,,
01,Colbert,Alabama,AL,54660,92,7652,12572,33288,7652,44767,9128,219,164,711,75,527,6,1728,1424,16507,42034,16453,0,11861,7434,18912,14102,93523,35474,15250,41104,8254,14977,,
01,Conecuh,Alabama,AL,13257,16,2917,3354,7861,1776,7331,5846,27,13,119,73,145,7,99,84,0,0,0,0,1631,1087,3434,2559,25069,7742,5183,10500,1750,3951,,
01,Coosa,Alabama,AL,11162,17,1496,2590,6831,1540,7546,3527,33,11,167,75,101,5,72,58,0,0,0,0,0,1674,2712,2188,20114,6853,4376,5871,0,2422,,
01,Covington,Alabama,AL,37003,36,6476,8659,21721,5735,31860,4662,185,111,333,75,370,5,789,647,10657,0,11175,0,10287,4477,9473,6328,63904,28159,11138,29380,3959,9029,,
01,Crenshaw,Alabama,AL,13727,23,2416,3322,8058,2045,10240,3377,55,14,110,74,145,0,107,89,0,0,0,0,0,0,3665,2292,20906,9046,5367,8387,1537,3967,,
01,Cullman,Alabama,AL,79886,108,10625,19093,48970,10625,77729,959,320,240,2476,75,822,8,3652,3038,23486,60873,17735,27960,22049,7989,21250,13341,162648,54083,22847,56799,7270,19652,,
01,Dale,Alabama,AL,48748,87,7702,13503,28956,5752,36805,10188,244,634,1560,76,481,6,1294,1111,14819,38755,12187,0,14283,5899,9408,9750,95497,35245,11943,27640,5265,11700,,
01,Dallas,Alabama,AL,44366,45,11092,12866,25466,5368,14375,29681,44,133,266,72,504,7,1055,956,13975,38110,16238,0,9051,5102,11580,13975,82210,29237,12289,36114,3727,12467,,
01,DeKalb,Alabama,AL,67271,86,10158,16818,41170,8274,64580,1211,538,202,5920,75,646,7,2550,2119,24890,54288,16347,23747,12849,5247,15540,9216,115639,33568,20383,39421,7333,17961,,
01,Elmore,Alabama,AL,73937,119,9242,18558,47320,7246,57153,15305,296,370,1257,75,700,6,3083,2696,20481,62846,18336,17006,16710,4067,25213,12495,102625,47172,14048,44658,6285,19445,,
01,Escambia,Alabama,AL,38082,40,7083,9292,23382,4760,24487,12072,1104,114,381,73,397,8,824,698,13062,33169,12834,0,9939,4341,12300,5484,84237,25553,11082,27419,4189,9597,,
01,Etowah,Alabama,AL,103189,193,16201,24765,62223,14343,86472,15066,310,516,2477,74,1126,8,6085,5051,35187,83996,27964,39418,32505,10525,28583,16717,194614,73987,22495,65525,16201,25384,,
01,Fayette,Alabama,AL,18228,29,2935,4284,11010,2479,15931,2151,36,55,164,74,179,10,191,157,0,0,5961,0,3864,2315,3500,2844,28727,10937,6635,11192,2187,4685,,
01,Franklin,Alabama,AL,30737,48,5348,7561,18504,4211,28924,1291,123,184,3289,74,336,0,535,448,8883,26280,0,0,0,2213,10235,4764,53267,21547,12879,26741,4242,9498,,
01,Geneva,Alabama,AL,25735,45,4529,5893,15415,3886,22595,2779,180,51,515,75,253,6,384,313,0,0,8879,0,0,2419,5868,3757,54558,17577,8956,16265,3423,6562,,
