State_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Population_Density,Poverty,Age_19_Under,Age_19_64,Age_65_84,White,Black,Native_American,Asian,Hispanic,ALE,All_Death,Unhealthy_Days,Major_Depression,Recent_Drug_Use,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Brst_Cancer,Col_Cancer,CHD,Lung_Cancer,MVA,Stroke,Suicide,Injury
01,Autauga,Alabama,AL,48612,82,10.4,26.9,62.3,9.8,80.7,17.3,0.5,0.6,1.7,74.9,1041.5,7.5,2680,2394,27.8,78.6,24.5,29.1,26.6,14.2,34.1,15.9,172.4,65.3,27.3,73.9,16.6,23
01,Baldwin,Alabama,AL,162586,102,10.2,23.5,60.3,14.5,88.4,9.9,0.5,0.4,2.3,76.6,856.9,6.7,9354,7753,27.2,76.2,23.6,30.5,24.6,7.2,22.5,15.3,156.5,62.1,25.1,48.7,14.3,30.1
01,Barbour,Alabama,AL,28414,32,22.1,24.3,62.5,11.6,52.2,46.8,0.4,0.3,3.1,74.5,1019.4,-1111.1,1618,1403,-1111.1,-1111.1,25.6,-1111.1,17.7,6.6,30.5,23.4,95.3,70.6,26.2,84.5,10.3,29.6
01,Bibb,Alabama,AL,21516,35,16.8,24.6,63.3,10.9,76.8,22.5,0.3,0.1,1.4,73.2,1050.5,-1111.1,1218,1034,-1111.1,86.6,-1111.1,-1111.1,-1111.1,13.1,30.1,17.4,184.7,64.6,35.4,144.6,14.8,30
01,Blount,Alabama,AL,55725,86,11.9,24.5,62.1,12.1,97.1,1.5,0.5,0.2,6.3,76.1,954.2,7.9,3164,2675,33.5,74.6,24.2,-1111.1,23.6,8.4,30.2,16.8,148.2,71.7,27.4,47.3,14.4,24.4
01,Bullock,Alabama,AL,11055,18,26.2,24.7,63.2,10,27.8,71.4,0.4,0.2,5.9,71.9,1107.6,-1111.1,626,565,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,30.4,23,221.4,49.9,52.2,67.8,-1111.1,34.2
01,Butler,Alabama,AL,20766,27,20,25.6,58.5,13.6,57.5,41.9,0.2,0.3,0.9,73,1084.2,6.9,1164,1029,24.5,-1111.1,22,-1111.1,27.3,9.5,20.5,17.8,229,52.5,37.7,84.5,11.9,30.5
01,Calhoun,Alabama,AL,112141,184,16.4,24.1,61.6,12.7,78.3,19.7,0.4,0.8,2,73.1,1100.3,8,6400,5545,29.2,81.9,27,33.2,25.5,11.2,26.4,18.4,189.3,73.5,25.5,79.2,13.6,27.4
01,Chambers,Alabama,AL,35460,59,16.2,24.8,59.5,13.5,60.8,38.6,0.1,0.2,1.2,73.8,1075.6,7.9,2005,1647,34.7,84.6,-1111.1,-1111.1,11.7,17.1,25.3,13.8,110.8,63.1,27.9,97.6,12.8,26.8
01,Cherokee,Alabama,AL,24522,44,15.2,21.9,61.4,15.2,93.3,5.5,0.3,0.3,1.1,75.3,999.3,8.8,1436,1140,-1111.1,-1111.1,-1111.1,-1111.1,23.6,13.3,11,15.3,160.4,54.1,32.7,59,17.7,27
01,Chilton,Alabama,AL,41744,60,14.9,25,62.6,11.3,88.3,10.5,0.3,0.4,3.7,74.1,1040.4,9.7,2355,2009,30.3,82.8,31.2,26.5,30,6,16.2,13.7,188.1,63.6,34.8,70.3,13.3,32.8
01,Choctaw,Alabama,AL,14807,16,18.7,24.9,59.5,13.7,55.7,43.9,0.1,0.1,0.8,74.6,975.7,-1111.1,837,701,-1111.1,-1111.1,-1111.1,-1111.1,17.1,13.5,30.2,21.1,221,65.7,48.2,84.1,9.4,19.1
